Census year,Block ID,CLUE_small_area,Accommodation,Admin and Support Services,Agriculture and Mining,Arts and Recreation Services,Business Services,Construction,Education and Training,"Electricity, Gas, Water and Waste Services",Finance and Insurance,Food and Beverage Services,Health Care and Social Assistance,Information Media and Telecommunications,Manufacturing,Other Services,Public Administration and Safety,Real Estate Services,Rental and Hiring Services,Retail Trade,"Transport, Postal and Storage",Wholesale Trade,Total_establishments_in_block
2015,68,Melbourne (CBD),6,0,0,2,6,0,2,0,8,14,0,1,0,5,3,2,0,2,0,0,51
2015,71,Melbourne (CBD),1,2,0,0,12,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,21
2015,72,Melbourne (CBD),0,4,0,0,45,1,2,0,2,31,2,1,2,5,2,3,0,4,0,0,104
2015,73,Melbourne (CBD),0,0,0,0,4,0,0,0,0,3,0,0,0,2,8,1,0,0,0,0,18
2015,74,Melbourne (CBD),0,7,0,3,75,0,9,0,7,29,4,3,3,15,1,6,0,22,1,1,186
2015,76,Melbourne (CBD),0,2,0,4,2,1,1,0,4,41,16,3,1,11,1,1,0,50,1,0,139
2015,77,Melbourne (CBD),2,2,0,1,3,0,2,0,3,7,1,4,0,11,0,2,0,4,1,0,43
2015,78,Melbourne (CBD),0,2,0,1,2,0,0,0,7,23,2,1,1,5,17,4,0,6,0,0,71
2015,81,Melbourne (CBD),2,0,0,0,1,0,6,0,0,6,0,0,0,0,0,0,0,3,0,0,18
2015,82,Melbourne (CBD),0,1,0,1,40,1,5,1,5,12,2,4,0,3,7,1,0,2,3,0,88
2015,83,Melbourne (CBD),0,0,0,2,0,1,1,0,0,3,0,0,0,3,1,0,0,0,0,0,11
2015,84,Melbourne (CBD),0,3,0,0,17,4,3,1,3,17,0,1,2,7,0,2,0,10,0,1,71
2015,85,Melbourne (CBD),1,4,0,2,5,1,0,1,8,96,9,4,1,32,5,1,0,191,1,0,362
2015,86,Melbourne (CBD),0,0,0,1,0,0,0,0,0,2,0,1,0,7,0,0,0,1,0,0,12
2015,87,Melbourne (CBD),2,2,0,0,7,1,3,2,1,20,0,0,0,6,0,4,0,1,0,1,50
2015,88,Melbourne (CBD),0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,2,0,0,7
2015,91,West Melbourne (Residential),0,3,1,0,18,0,4,1,1,7,1,1,1,6,0,1,0,2,0,4,51
2015,92,West Melbourne (Residential),0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2015,93,Melbourne (CBD),2,1,0,1,16,1,4,0,3,7,0,0,0,4,4,1,0,2,0,2,48
2015,94,Melbourne (CBD),2,0,0,0,8,1,2,0,1,8,0,1,0,5,1,3,0,10,0,0,42
2015,95,Melbourne (CBD),1,3,0,1,15,1,11,0,3,24,9,2,2,9,0,1,2,12,0,0,96
2015,96,Melbourne (CBD),0,1,0,6,0,0,22,0,1,3,3,1,0,1,1,0,0,0,0,0,39
2015,97,Melbourne (CBD),3,1,0,3,4,1,1,0,1,5,0,4,0,6,0,1,0,2,0,0,32
2015,98,Melbourne (CBD),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2015,101,West Melbourne (Residential),0,0,0,0,2,0,1,1,0,3,0,1,4,4,0,0,0,0,0,0,16
2015,103,Melbourne (CBD),4,0,0,0,5,1,1,1,2,3,1,0,0,10,0,2,0,0,0,0,30
2015,104,Melbourne (CBD),3,2,0,0,4,0,3,2,1,13,1,0,1,7,0,0,1,4,0,0,42
2015,105,Melbourne (CBD),0,1,0,1,3,1,4,0,0,10,1,0,0,0,1,0,2,3,1,0,28
2015,107,Melbourne (CBD),1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,5
2015,111,West Melbourne (Residential),1,2,0,1,3,0,1,0,2,0,0,0,0,3,1,0,0,2,1,1,18
2015,113,Melbourne (CBD),0,1,0,1,0,0,0,1,0,27,2,0,4,6,0,1,0,100,15,1,159
2015,114,Melbourne (CBD),2,0,0,1,3,2,1,0,0,14,0,0,0,1,0,1,0,20,0,1,46
2015,115,Melbourne (CBD),4,2,0,2,1,2,3,0,1,6,0,1,0,2,0,3,3,5,2,0,37
2015,116,Melbourne (CBD),0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
2015,125,Melbourne (CBD),0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,5
2015,131,Docklands,1,0,0,1,1,1,0,0,1,8,1,1,0,4,3,1,0,1,2,0,26
2015,201,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,202,Carlton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,203,Carlton,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,6
2015,204,Carlton,1,0,0,0,0,0,3,0,0,3,0,0,0,1,0,0,0,0,0,0,8
2015,205,Carlton,1,0,0,1,0,0,2,0,0,2,4,0,0,1,0,0,0,1,0,0,12
2015,206,Carlton,5,1,0,1,6,1,0,0,3,10,0,1,0,4,0,1,0,18,0,0,51
2015,207,Carlton,0,0,0,0,0,0,0,1,0,8,1,0,0,1,0,0,0,12,0,2,25
2015,208,Carlton,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3
2015,209,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2015,210,Carlton,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2015,211,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2015,212,Carlton,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,5
2015,213,Carlton,0,0,0,1,0,0,1,1,0,0,1,0,0,2,1,0,0,0,0,0,7
2015,214,Carlton,1,2,0,0,6,0,0,0,0,2,2,0,3,1,0,0,0,5,0,1,23
2015,215,Carlton,0,0,1,1,0,0,0,0,0,4,1,0,0,1,1,1,0,4,1,0,15
2015,216,Carlton,0,0,0,0,1,0,0,0,1,4,0,0,1,8,0,0,1,5,0,1,22
2015,217,Carlton,0,2,0,2,1,1,0,0,0,13,4,2,1,7,0,0,0,27,0,0,60
2015,218,Carlton,2,3,0,4,13,2,2,0,7,15,4,1,1,12,0,3,0,15,0,0,84
2015,219,Carlton,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,0,6
2015,220,Carlton,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4
2015,221,Carlton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,222,Carlton,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,4
2015,223,Carlton,1,0,0,0,2,0,0,0,0,1,3,0,0,4,0,2,0,3,0,0,16
2015,224,Carlton,0,0,0,0,4,0,0,0,2,1,3,0,7,2,0,2,0,4,0,0,25
2015,225,Carlton,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3
2015,226,Carlton,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9
2015,227,Carlton,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3
2015,228,Carlton,0,0,0,2,2,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,8
2015,229,Carlton,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
2015,230,Carlton,0,1,0,1,0,0,0,0,0,1,1,0,0,3,0,0,0,1,0,1,9
2015,231,Carlton,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2015,232,Carlton,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3
2015,233,Carlton,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
2015,234,Carlton,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3
2015,235,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2015,236,Carlton,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3
2015,237,Carlton,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
2015,238,Carlton,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2015,239,Carlton,0,0,0,0,3,0,2,0,2,3,19,1,0,1,0,0,0,2,0,1,34
2015,240,Carlton,0,0,0,0,1,0,11,0,0,4,1,0,0,0,0,0,0,0,0,0,17
2015,241,Carlton,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2015,242,Carlton,1,0,0,1,5,0,10,0,2,2,1,1,0,0,0,1,0,0,0,0,24
2015,243,Carlton,3,0,1,0,2,1,11,0,0,4,3,0,1,2,0,0,0,2,0,1,31
2015,244,Carlton,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2015,245,Carlton,0,1,0,0,10,0,2,0,2,10,1,0,0,2,0,2,0,3,0,3,36
2015,246,Carlton,1,0,0,0,4,0,1,0,0,19,2,0,1,1,0,0,0,5,0,1,35
2015,247,Carlton,2,2,0,2,14,2,2,0,3,15,7,0,0,3,2,0,0,2,0,0,56
2015,248,Carlton,5,0,0,0,3,0,1,0,0,1,1,0,0,6,0,1,0,0,0,0,18
2015,249,Carlton,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
2015,250,Carlton,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4
2015,251,Carlton,0,0,0,0,3,0,0,0,6,1,3,0,0,4,2,1,0,0,0,1,21
2015,252,Carlton,1,1,0,0,10,3,1,1,4,22,3,1,1,4,0,1,0,5,0,1,59
2015,253,Carlton,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,254,Carlton,0,2,0,0,5,1,1,0,1,12,4,2,0,5,1,0,0,1,1,0,36
2015,255,Carlton,0,0,0,0,7,0,1,0,2,4,3,0,1,5,1,1,0,4,0,1,30
2015,256,Carlton,1,2,0,0,2,0,3,0,0,2,0,0,1,1,1,0,0,1,0,0,14
2015,257,Carlton,1,0,0,0,0,0,2,2,0,7,4,0,2,2,0,0,0,1,0,1,22
2015,258,Carlton,0,0,0,0,1,0,1,0,0,2,0,1,1,0,0,0,0,1,0,0,7
2015,259,Carlton,0,0,0,0,0,0,2,1,0,2,1,2,0,1,0,0,0,0,0,2,11
2015,260,Carlton,1,3,0,0,2,0,0,0,0,2,2,0,2,2,0,0,0,6,1,0,21
2015,261,Carlton,0,0,0,0,4,1,1,0,0,0,0,1,1,4,0,0,0,8,0,1,21
2015,262,Carlton,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,5
2015,263,Carlton,1,0,0,0,5,1,0,3,0,1,2,0,0,12,2,1,0,3,0,1,32
2015,264,Carlton,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,5
2015,265,Carlton,3,3,0,0,1,1,4,0,0,6,0,0,1,8,1,2,0,2,0,1,33
2015,266,Carlton,2,0,0,0,3,0,17,0,0,5,0,1,1,2,0,0,0,0,0,0,31
2015,267,Carlton,2,0,0,0,7,0,0,0,2,4,5,1,0,19,0,0,0,2,1,0,43
2015,268,Carlton,0,1,0,1,9,0,0,0,2,1,4,0,0,2,0,1,0,0,0,0,21
2015,269,Carlton,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2015,270,Parkville,0,3,0,6,0,0,1,0,2,29,0,0,0,1,0,0,0,8,1,0,51
2015,271,Parkville,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2015,272,Parkville,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,273,Carlton,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,4
2015,274,Carlton,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15
2015,301,North Melbourne,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,5
2015,302,North Melbourne,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2015,303,North Melbourne,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3
2015,304,North Melbourne,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
2015,305,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,306,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2015,307,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,308,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,309,North Melbourne,0,1,0,1,3,0,0,2,1,1,0,0,1,3,0,0,1,0,0,2,16
2015,310,North Melbourne,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,1,0,1,0,2,11
2015,311,North Melbourne,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2015,312,North Melbourne,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,5
2015,313,North Melbourne,0,0,0,0,2,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,7
2015,314,North Melbourne,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
2015,315,North Melbourne,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8
2015,316,North Melbourne,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
2015,317,North Melbourne,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,5
2015,318,North Melbourne,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
2015,319,North Melbourne,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,3
2015,320,North Melbourne,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,321,North Melbourne,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,322,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,4
2015,323,North Melbourne,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,1,1,7
2015,324,North Melbourne,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,325,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,326,North Melbourne,0,0,0,1,0,0,0,0,0,3,0,0,0,2,0,0,0,2,0,0,8
2015,327,North Melbourne,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,5
2015,328,North Melbourne,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,329,North Melbourne,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3
2015,330,North Melbourne,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,331,North Melbourne,0,0,0,0,1,0,0,0,0,0,0,2,1,8,0,0,1,0,1,1,15
2015,332,North Melbourne,0,1,0,1,1,0,1,0,2,0,0,0,6,2,0,0,0,0,1,0,15
2015,333,North Melbourne,0,0,0,0,3,0,0,0,0,2,1,1,0,3,0,1,0,4,0,1,16
2015,334,North Melbourne,0,0,0,0,5,0,0,0,1,2,3,0,1,2,0,0,0,1,1,1,17
2015,335,North Melbourne,0,0,0,0,16,3,0,0,2,3,2,2,3,1,1,0,0,3,0,4,40
2015,336,North Melbourne,0,0,0,0,3,2,0,0,0,0,0,1,1,1,0,0,0,0,1,2,11
2015,337,North Melbourne,0,1,0,0,0,3,0,1,0,0,0,2,0,1,0,0,0,3,1,4,16
2015,338,North Melbourne,0,0,0,0,0,1,0,0,0,1,0,0,4,1,0,0,0,0,0,0,7
2015,339,North Melbourne,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,6
2015,340,North Melbourne,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,1,6
2015,341,North Melbourne,0,0,0,2,2,0,0,0,0,2,0,0,0,1,1,0,0,0,0,4,12
2015,342,North Melbourne,0,0,0,0,3,2,1,0,0,0,0,0,1,1,1,0,0,3,0,1,13
2015,343,North Melbourne,0,0,0,1,3,2,1,0,0,0,2,0,1,1,1,0,0,2,0,1,15
2015,344,North Melbourne,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3
2015,345,North Melbourne,0,1,0,3,2,0,1,1,4,16,5,2,2,9,0,3,0,6,2,0,57
2015,346,North Melbourne,0,0,0,0,3,1,0,0,1,4,1,0,2,4,0,1,0,7,1,0,25
2015,347,North Melbourne,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,4
2015,348,North Melbourne,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2015,349,North Melbourne,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,350,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,351,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,352,North Melbourne,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
2015,353,North Melbourne,2,0,0,0,1,0,2,0,0,1,8,0,1,1,0,0,0,1,0,0,17
2015,354,North Melbourne,0,3,0,3,7,1,0,0,0,14,3,2,1,11,0,2,0,10,2,3,62
2015,355,North Melbourne,1,1,0,0,14,1,0,0,4,1,3,1,1,2,0,0,0,1,1,1,32
2015,356,North Melbourne,0,1,0,0,2,1,1,0,1,3,0,1,3,4,1,0,0,3,0,1,22
2015,357,North Melbourne,0,0,0,0,6,1,3,0,1,4,3,0,1,10,0,1,0,2,1,2,35
2015,358,North Melbourne,2,0,0,0,1,0,0,0,0,2,0,0,1,4,0,0,0,5,3,0,18
2015,359,North Melbourne,0,3,0,1,6,1,1,1,0,0,1,0,0,1,1,0,0,2,0,1,19
2015,360,North Melbourne,0,0,0,0,0,0,2,0,0,3,2,2,0,1,0,0,0,7,0,1,18
2015,361,North Melbourne,0,0,0,0,3,0,0,0,0,5,0,1,0,4,1,0,0,1,0,0,15
2015,362,North Melbourne,2,1,0,0,0,0,3,0,0,6,5,0,0,1,0,0,0,7,0,0,25
2015,363,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5
2015,364,North Melbourne,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4
2015,365,North Melbourne,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
2015,366,North Melbourne,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
2015,367,North Melbourne,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,4
2015,368,North Melbourne,1,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,6
2015,369,North Melbourne,0,0,0,0,4,0,0,0,0,3,1,1,1,3,0,2,0,2,3,0,20
2015,370,North Melbourne,1,0,0,0,3,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,9
2015,371,North Melbourne,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,372,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,373,North Melbourne,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,374,North Melbourne,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,375,North Melbourne,0,0,0,0,4,1,2,0,1,3,2,0,0,5,1,0,0,0,0,2,21
2015,376,North Melbourne,0,3,0,17,5,0,0,1,0,1,6,0,1,7,1,0,0,1,1,0,44
2015,377,North Melbourne,0,3,0,0,11,3,2,0,0,7,34,0,0,6,0,0,0,0,0,1,67
2015,378,North Melbourne,0,1,0,2,1,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,12
2015,379,North Melbourne,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,380,North Melbourne,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2015,401,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2015,402,West Melbourne (Residential),0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5
2015,403,West Melbourne (Residential),0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,12
2015,404,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
2015,405,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
2015,406,West Melbourne (Residential),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
